species,First Recorded Occurence (Ma),Last Recorded Occurence (Ma),First Recorded Occurence Date(s) (Ma) and Reference(s),Last Recorded Occurence Date(s) (Ma) and Reference(s),Ancestor,Morphogroup,Morphogroup Reference,Ecogroup(s),Ecogroup Reference(s),Type
Paragloborotalia pseudokugleri,25.21,21.31,Datum B Paragloborotalia pseudokugleri of TimeScale Creator (2020) = 25.21,Datum T Paragloborotalia pseudokugleri of Raffi et al. (2020) = 21.31,Paragloborotalia nana,16,Spezzaferri (1994),1,"Poore and Matthews (1984), Pearson et al. (1997b), Pearson and Wade (2009)",Macro
Paragloborotalia semivera,28.91,16.28,First recorded occurence date extension Leckie et al. (2018) = 28.91. Leckie et al. (2018) = 28.16,Leckie et al. (2018) = 16.28,Paragloborotalia pseudocontinuosa,2,Kennett and Srinivasan (1983),3,No data,Macro
Paragloborotalia siakensis,31.04,10.54,First recorded occurence date extension Leckie et al. (2018) = 31.04. Leckie et al. (2018) = 29.77,Datum T Paragloborotalia mayeri [(sub)tropical] of Raffi et al. (2020) = 10.54,Paragloborotalia nana,2,Kennett and Srinivasan (1983),"2,3","Gasperi and Kennett (1993), Pearson and Wade (2009), Matsui et al. (2016), Liebrand et al. (2024)",Macro
Paragloborotalia zealandica,17.18,16.39,Datum B Paragloborotalia zealandica of Raffi et al. (2020) = 17.18,D. R. M. Stewart unpublished data = 16.39,Paragloborotalia incognita,16,Kennett and Srinivasan (1983),3,No data,Macro
Parasubbotina aff. pseudobulloides,66.04,65.77,First recorded occurence date extension Olsson et al. (1999) = 66.04. Olsson et al. (1999) = 66.03,Datum B Parasubbotina pseudobulloides of TimeScale Creator (2020) = 65.77,Muricohedbergella monmouthensis,2,Olsson et al. (1999),4,"D’Hondt and Zachos (1993), Pearson et al. (2001a)",Macro
Parasubbotina eoclava,49.13,43.69,Olsson et al. (2006a) = 49.13,Olsson et al. (2006a) = 43.69,Parasubbotina inaequispira,2,Olsson et al. (2006a),6,Coxall et al. (2003),Macro
Parasubbotina griffinae,48.25,37.22,Olsson et al. (2006a) = 48.25,Olsson et al. (2006a) = 37.22,Parasubbotina inaequispira,2,Olsson et al. (2006a),6,H. K. Coxall unpublished data,Macro
Parasubbotina hagni,50.59,34.67,Datum B Parasubbotina hagni of Luciani and Giusberti (2014) = 50.59,Olsson et al. (2006b) = 34.67,Parasubbotina varianta,2,Olsson et al. (2006b),3,Coxall et al. (2000),Macro
Parasubbotina inaequispira,56.13,45.26,Olsson et al. (2006a) = 56.13,Olsson et al. (2006a) = 45.26,Parasubbotina varianta,2,Olsson et al. (2006a),6,"Pearson et al. (2001a), H. K. Coxall unpublished data",Macro
Parasubbotina prebetica,51.68,50.93,Olsson et al. (2006a) = 51.68,Olsson et al. (2006a) = 50.93,Parasubbotina inaequispira,2,Olsson et al. (2006a),6,No data,Macro
Parasubbotina pseudobulloides,65.77,60.82,Datum B Parasubbotina pseudobulloides of TimeScale Creator (2020) = 65.77,Olsson et al. (1999) = 61.60. Last recorded occurence date extension Olsson et al. (1999) = 60.82,Parasubbotina aff. pseudobulloides,2,Olsson et al. (1999),4,"D’Hondt and Zachos (1993), Berggren and Norris (1997)",Macro
Parasubbotina pseudowilsoni,47.48,40.39,Olsson et al. (2006a) = 47.48,Olsson et al. (2006a) = 40.39,Parasubbotina varianta,2,Olsson et al. (2006a),3,No data,Macro
Parasubbotina varianta,64.04,32.99,Datum B Parasubbotina varianta of TimeScale Creator (2020) = 64.04,Leckie et al. (2018) = 32.99,Parasubbotina pseudobulloides,2,Olsson et al. (1999),3,"Olsson et al. (1999), Pearson et al. (2001a)",Macro
Parasubbotina variospira,62.26,60.54,Datum B Parasubbotina variospira of Berggren et al. (2000) = 62.26,Datum T Parasubbotina variospira of TimeScale Creator (2020) = 60.54,Parasubbotina varianta,2,Olsson et al. (1999),3,"Olsson et al. (1999), Pearson et al. (2001a)",Macro
Pearsonites anapetes,45.26,43.26,Berggren et al. (2006b) = 45.26,Berggren et al. (2006b) = 43.26,Pearsonites broedermanni,7,Berggren et al. (2006b),1,No data,Macro
Pearsonites broedermanni,56.25,43.36,Berggren et al. (2006b) = 56.25,Berggren et al. (2006b) = 43.36,Pearsonites lodoensis,7,Berggren et al. (2006b),1,"Pearson et al. (1993), Pearson et al. (2001a)",Macro
Pearsonites lodoensis,56.78,50.48,Berggren et al. (2006b) = 56.78,Berggren et al. (2006b) = 50.48,Acarinina esnehensis,7,Berggren et al. (2006b),1,No data,Macro
Planoglobanomalina pseudoalgeriana,51.58,45.04,Datum B Planoglobanomalina pseudoalgeriana of Luciani and Giusberti (2014) = 51.58,Olsson and Hemleben (2006) = 45.04,Globanomalina planoconica,19,Olsson and Hemleben (2006),2,No data,Macro
Planorotalites capdevilensis,50.38,36.63,Berggren et al. (2006b) = 50.38,Berggren et al. (2006b) = 37.95. Last recorded occurence date extension Berggren et al. (2006b) = 36.63,Planorotalites pseudoscitula,17,Berggren et al. (2006b),2,Pearson et al. (2001a),Macro
Planorotalites pseudoscitula,57.09,46.36,Berggren et al. (2006b) = 57.09,Berggren et al. (2006b) = 50.15. Last recorded occurence date extension Berggren et al. (2006b) = 46.36,Morozovella apanthesma,17,Berggren et al. (2006b),2,Pearson et al. (2001a),Macro
Praemurica inconstans,64.27,62.26,Datum B Praemurica inconstans of Huber and Quillévéré (2005) = 64.27,Datum T Praemurica inconstans of Berggren et al. (2000) = 62.26,Praemurica pseudoinconstans,7,Olsson et al. (1999),2,"Boersma and Premoli Silva (1983), Berggren and Norris (1997)",Macro
Praemurica pseudoinconstans,65.84,62.55,Olsson et al. (1999) = 65.84,Olsson et al. (1999) = 62.55,Praemurica taurica,7,Olsson et al. (1999),2,Birch et al. (2012),Macro
Praemurica taurica,66.03,63.93,First recorded occurence date extension Olsson et al. (1999) = 66.03. Olsson et al. (1999) = 66.02,Datum T Praemurica taurica of Berggren et al. (2000) = 63.93,Muricohedbergella monmouthensis,7,Olsson et al. (1999),2,"D’Hondt and Zachos (1993), Berggren and Norris (1997)",Macro
Praemurica uncinata,62.68,62.33,Datum B Praemurica uncinata of TimeScale Creator (2020) = 62.68,Datum T Praemurica uncinata of Berggren et al. (2000) = 62.33,Praemurica inconstans,7,Olsson et al. (1999),2,"Shackleton et al. (1985a), Berggren and Norris (1997)",Macro
Praeorbulina circularis,15.98,14.89,Datum B Praeorbulina circularis of Raffi et al. (2020) = 15.98,Datum T Praeorbulina circularis of TimeScale Creator (2020) = 14.89,Praeorbulina glomerosa,4,Kennett and Srinivasan (1983),1,Pearson et al. (1997a),Macro
