species,First Recorded Occurence (Ma),Last Recorded Occurence (Ma),First Recorded Occurence Date(s) (Ma) and Reference(s),Last Recorded Occurence Date(s) (Ma) and Reference(s),Ancestor,Morphogroup,Morphogroup Reference,Ecogroup(s),Ecogroup Reference(s),Type
Turborotalia altispiroides,40.64,37.13,Pearson et al. (2006b) = 40.64,Pearson et al. (2006b) = 37.13,Turborotalia pomeroli,7,Pearson et al. (2006b),2,Pearson et al. (2001a),Macro
Turborotalia ampliapertura,40.22,30.28,Pearson et al. (2018a) = 40.22,Datum T Turborotalia ampliapertura of TimeScale Creator (2020) = 30.28,Turborotalia pomeroli,7,Pearson et al. (2006b),2,Pearson et al. (2007),Macro
Turborotalia cerroazulensis,41.46,34.07,Pearson et al. (2006b) = 41.46,Datum T Turborotalia cerroazulensis of TimeScale Creator (2020) = 34.07,Turborotalia pomeroli,15,Pearson et al. (2006b),3,Pearson et al. (2007),Macro
Turborotalia cocoaensis,38.58,34.06,Pearson et al. (2006b) = 38.58,Pearson et al. (2006b) = 34.06,Turborotalia cerroazulensis,12,Pearson et al. (2006b),3,Pearson et al. (2007),Macro
Turborotalia cunialensis,34.43,34.06,Pearson et al. (2006b) = 34.43,Pearson et al. (2006b) = 34.06,Turborotalia cocoaensis,13,Pearson et al. (2006b),2,No data,Macro
Turborotalia frontosa,48.62,40.64,Datum B Turborotalia frontosa of TimeScale Creator (2020) = 48.62,Pearson et al. (2006b) = 40.64,Globanomalina australiformis,7,Pearson et al. (2006b),4,"Boersma et al. (1987), Pearson (1993), Pearson et al. (2001a)",Macro
Turborotalia increbescens,39.11,31.67,Pearson et al. (2018a) = 39.11,Pearson et al. (2018a) = 32.41. Last recorded occurence date extension Pearson et al. (2018a) = 31.67,Turborotalia pomeroli,13,Pearson et al. (2006b),2,Pearson et al. (2007),Macro
Turborotalia pomeroli,42.09,35.04,Datum B Turborotalia pomeroli of TimeScale Creator (2020) = 42.09,Pearson et al. (2006b) = 35.04,Turborotalia frontosa,7,Pearson et al. (2006b),2,"Boersma et al. (1987), Pearson et al. (2001a)",Macro
Turborotalia possagnoensis,43.63,40.64,Pearson et al. (2006b) = 43.63,Pearson et al. (2006b) = 40.64,Turborotalia frontosa,7,Pearson et al. (2006b),2,Poore and Matthews (1984),Macro
Turborotalita carcoselleensis,44.14,35.96,Olsson et al. (2006b) = 44.14,Olsson et al. (2006b) = 35.96,Turborotalita nikolasi,1,Olsson et al. (2006b),2,No data,Macro
Turborotalita clarkei,1.61,Living,Hemleben et al. (1989) = 1.61,Hemleben et al. (1989) = 0.00,Turborotalita cristata,1,Brummer and Kroon (1988),"2,3,4","Schiebel and Hemleben (2017), Rebotim et al. (2017)",Macro
Turborotalita cristata,4.51,Living,NEPTUNE = 4.51,NEPTUNE = 0.00,Turborotalita humilis,1,Kennett and Srinivasan (1983),2,No data,Macro
Turborotalita humilis,5.81,Living,Datum B Turborotalita humilis of Raffi et al. (2020) = 5.81,Kennett and Srinivasan (1983) = 0.00,Turborotalita quinqueloba,1,Kennett and Srinivasan (1983),1,"Schiebel and Hemleben (2017), Rebotim et al. (2017)",Macro
Turborotalita nikolasi,66.04,44.14,Koutsoukos (2014) = 66.04,Koutsoukos (2014) = 63.30. Last recorded occurence date extension Pearson and Kučera (2018) = 62.51. Last recorded occurence date extension of Olsson et al. (2006b) = 44.14,Muricohedbergella monmouthensis,7,Koutsoukos (2014),2,No data,Macro
Turborotalita praequinqueloba,35.74,27.15,Pearson and Kučera (2018) = 35.74,Pearson and Kučera (2018) = 27.15,Turborotalita quinqueloba,1,Olsson et al. (2006b),2,No data,Macro
Turborotalita quinqueloba,36.94,Living,Pearson and Kučera (2018) = 36.94,Kennett and Srinivasan (1983) = 0.00,Turborotalita carcoselleensis,1,Kennett and Srinivasan (1983),"3,5","Pearson and Wade (2009), Schiebel and Hemleben (2017), Rebotim et al. (2017)",Macro
Bolivina cetacensis,23.04,15.99,Smart and Thomas (2007) = 23.04,Smart and Thomas (2007) = 15.99,Bolivina tasmanensis,20,Smart and Thomas (2007) ,,No data,Micro
Bolivina cf. globigera,18.75,Living,First recorded occurence date extension Sant et al. (2019) = 18.75. Fordham (1986) = 9.11,Kucera et al. (2017) = 0.00,Bolivina cf. variabilis,2,Fordham (1986),,No data,Micro
Bolivina cf. variabilis,18.75,Living,Sant et al. (2019) = 18.75,Kucera et al. (2017) = 0.00,Bolivina variabilis,Not assigned,,,No data,Micro
Bolivina dubeyi,16.39,15.12,Petters (1983) = 16.39,Petters (1983) = 15.12,Bolivina pristina,20,Morphogroup assigned from image presented in Hayward et al. (2021a),,No data,Micro
Bolivina flexiserialis,6.761272727,0.13,Fordham (1986) = 6.76,Fordham (1986) = 3.35. Last recorded occurence date extension Bergamaschi (2012) = 0.13,Bolivina globulosa,20,Fordham (1986),,No data,Micro
Bolivina globigera,9.722875,3.93,First recorded occurence date extension Resig (1993) = 9.72. Fordham (1986) = 9.11,Resig (1993) = 3.93,Bolivina cf. globigera,2,Fordham (1986),,No data,Micro
Bolivina globulosa,10.53,Living,Fordham (1986) = 10.53,Cushman (1933) = 0.00,Bolivina pristina,2,Gohrbandt (1967),,No data,Micro
Bolivina infirmirugosa,9.722875,3.35,Resig (1993) = 9.72,Fordham (1986) = 3.35,Bolivina globigera,20,Fordham (1986),,No data,Micro
Bolivina inflata,9.105,Living,Fordham (1986) = 9.11,Heron-Allen and Earland (1913) = 0.00,Bolivina globulosa,20,Heron-Allen and Earland (1913),,No data,Micro
Bolivina inglei,6.14,5.30,Miranda-Martínez et al. (2017) = 6.14,Miranda-Martínez et al. (2017) = 5.30,Bolivina inflata,20,Miranda-Martínez et al. (2017),,No data,Micro
Bolivina martini,43.26,30.28,Huber et al. (2006) = 43.26,Smart and Thomas (2018) = 30.28,Bolivina Clade,20,Smart and Thomas (2018) ,,No data,Micro
Bolivina mascarenensis,23.04,15.99,Smart and Thomas (2007) = 23.04,Smart and Thomas (2007) = 15.99,Bolivina cetacensis,20,Smart and Thomas (2007) ,,No data,Micro
Bolivina merecuanai,32.92,Living,First recorded occurence date extension Bhatia (1957) = 32.92. First recorded occurence date extension Wright (1978a) = 21.12. Wright (1978a) = 11.93,Sellier de Civrieux (1976) = 0.00,Bolivina Clade,Not assigned,,,No data,Micro
Bolivina nairi,11.93,Living,First recorded occurence date extension Wright (1978a) = 11.93,Sellier de Civrieux (1976) = 0.00,Bolivina subexcavata,Not assigned,,,No data,Micro
Bolivina pristina,26.93,8.58,Smart and Thomas (2018) = 26.93,Smart and Thomas (2018) = 8.58,Bolivina Clade,20,Smart and Thomas (2018) ,,No data,Micro
Bolivina pseudoplicata,11.93,Living,Wright (1978a) = 11.93,Heron-Allen and Earland (1930) = 0.00,Bolivina subexcavata,20,Morphogroup assigned from image presented in Hayward et al. (2023),,No data,Micro
Bolivina rockallkiddensis,32.1,1.88,Smart and Thomas (2018) = 32.10,Smart and Thomas (2018) = 1.88,Bolivina Clade,20,Smart and Thomas (2018) ,,No data,Micro
Bolivina sp. A,37.71,Living,Cushman (1937) = 37.71,Kimoto et al. (2014) = 0.00,Bolivina Clade,Not assigned,,,No data,Micro
Bolivina subexcavata,17.54,Living,Huddlestun (1988) = 17.54,Sellier de Civrieux (1976) = 0.00,Bolivina cf. variabilis,20,Morphogroup assigned from image presented in Hayward et al. (2021b),,No data,Micro
Bolivina tasmanensis,24.1075,22.18,Smart and Thomas (2018) = 24.11,Smart and Thomas (2018) = 22.18,Bolivina pristina,20,Smart and Thomas (2018) ,,No data,Micro
Bolivina variabilis,32.92,Living,Bhatia (1957) = 32.92,Williamson (1858) = 0.00,Bolivina merecuanai,20,Williamson (1858),,No data,Micro
Candeina nitida,8.43,Living,Datum B Candeina nitida of Raffi et al. (2020) = 8.43,Kennett and Srinivasan (1983) = 0.00,Candeina praenitida,21,Kennett and Srinivasan (1983),,No data,Micro
Candeina praenitida,10.0343,6.46,Blow (1969) = 10.03,Blow (1969) = 6.46,Globigerinita glutinata,21,Blow (1969),,No data,Micro
Cassigerinella chipolensis,33.89,10.92,Datum B Cassigerinella chipolensis of TimeScale Creator (2020) = 33.89,Datum T Cassigerinella chipolensis of Raffi et al. (2020) = 10.92,Cassigerinella eocaenica,7,Pearson et al. (2018c),6,Pearson and Wade (2009),Micro
Cassigerinella eocaenica,36.9357883,15.79,Pearson et al. (2018c) = 36.94,Pearson et al. (2018c) = 15.79,Chiloguembelina ototara,13,Pearson et al. (2018c),6,No data,Micro
Cassigerinelloita amekiensis,49.94125,43.66,Datum B Cassigerinelloita amekiensis of Huber and Quillévéré (2005) = 49.94. Huber et al. (2006) = 49.73,Huber et al. (2006) = 44.57. Last recorded occurence date extension Huber et al. (2006) = 43.66,Jenkinsina triseriata,21,Pearson et al. (2006b),,No data,Micro
Chiloguembelina adriatica,34.12210616,27.04,Premec Fucek et al. (2018) = 34.12,Premec Fucek et al. (2018) = 27.98. Last recorded occurence date extension Premec Fucek et al. (2018) = 27.04,Chiloguembelina cubensis,20,Premec Fucek et al. (2018),1,No data,Micro
Chiloguembelina andreae,34.12210616,30.22,Premec Fucek et al. (2018) = 34.12,Premec Fucek et al. (2018) = 30.22,Chiloguembelina ototara,20,Premec Fucek et al. (2018),1,No data,Micro
Chiloguembelina crinita,60.74183516,43.93,Olsson et al. (1999) = 60.74,Huber et al. (2006) = 43.93,Chiloguembelina midwayensis,20,Olsson et al. (1999),1,No data,Micro
Chiloguembelina cubensis,42.66037031,23.00,Premec Fucek et al. (2018) = 42.66,Datum Tc Chiloguembelina cubensis of TimeScale Creator (2020) = 27.29. Last recorded occurence date extension Premec Fucek et al. (2018) = 23.00,Chiloguembelina ototara,20,Premec Fucek et al. (2018),1,Poore and Matthews (1984),Micro
Chiloguembelina midwayensis,65.76159,56.83,Olsson et al. (1999) = 65.76,Olsson et al. (1999) = 56.83,Chiloguembelina morsei,20,Olsson et al. (1999),2,D’Hondt and Zachos (1993),Micro
Chiloguembelina morsei,65.9568,63.62,Olsson et al. (1999) = 65.96,Olsson et al. (1999) = 63.62,Woodringina hornerstownensis,20,Olsson et al. (1999),1,No data,Micro
Chiloguembelina ototara,44.13752929,31.46,Premec Fucek et al. (2018) = 44.14,Premec Fucek et al. (2018) = 32.04. Last recorded occurence date extension Premec Fucek et al. (2018) = 31.46,Chiloguembelina crinita,20,Premec Fucek et al. (2018),"1,3","Barrera and Huber (1991), Sexton et al. (2006)",Micro
Chiloguembelina parallela,55.15,53.98,Huber et al. (2006) = 55.15,Huber et al. (2006) = 53.98,Chiloguembelina crinita,20,Huber et al. (2006),1,No data,Micro
Chiloguembelina subtriangularis,63.35394,61.29,Olsson et al. (1999) = 63.35,Olsson et al. (1999) = 61.29,Chiloguembelina midwayensis,20,Olsson et al. (1999),1,No data,Micro
Chiloguembelina trinitatensis,57.001,54.82,Huber et al. (2006) = 57.00,Huber et al. (2006) = 54.82,Chiloguembelina wilcoxensis,20,Olsson et al. (1999),1,No data,Micro
Chiloguembelina wilcoxensis,59.165,53.94,First recorded occurence date extension Olsson et al. (1999) = 59.17. Olsson et al. (1999) = 58.14,Datum T Chiloguembelina wilcoxensis of Huber and Quillévéré (2005) = 53.94,Chiloguembelina crinita,20,Olsson et al. (1999),1,Boersma et al. (1987),Micro
Dentigloborotalia anfracta,8.58,Living,First recorded occurence date extension Brönnimann and Resig (1971) = 8.58. Quilty (1976) = 5.72,Parker (1967) = 0.00,Dentigloborotalia galapagosensis,7,Kennett and Srinivasan (1983),"2,3,6","Schiebel and Hemleben (2017), Rebotim et al. (2017)",Micro
Dentigloborotalia bauerensis,21.12,2.62,First recorded occurence date extension Stone and Keller (1985) = 21.12. First recorded occurence date extension Stone and Keller (1985) = 17.54. Quilty (1976) = 15.12. First recorded occurence date extension Quilty (1976) = 11.93. First recorded occurence date extension Fordham (1986) = 8.63,Last recorded occurence date extension Fordham (1986) = 2.62,Cassigerinella eocaenica,2,Fordham (1986),,No data,Micro
Dentigloborotalia galapagosensis,13.4,0.00,Quilty (1976) = 13.40. First recorded occurence date extension Quilty (1976) = 11.93. First recorded occurence date extension Fordham (1986) = 3.35,Last recorded occurence date extension Fordham (1986) = 0.00,Dentigloborotalia bauerensis,6,Fordham (1986),,No data,Micro
Dipsidripella danvillensis,43.3275,31.78,Huber et al. (2006) = 43.33,Pearson et al. (2018b) = 31.78,Praepararotalia perclara,7,Pearson et al. (2018b),7,Huber et al. (2006),Micro
Dipsidripella liqianyui,42.36013089,32.73,Pearson et al. (2018b) = 42.36,Pearson et al. (2018b) = 32.73,Dipsidripella danvillensis,7,Pearson et al. (2006b),7,No data,Micro
Globigerinatella insueta,17.59,14.66,Datum B Globigerinatella insueta (sensu stricto) of Raffi et al. (2020) = 17.59,Datum T Globigerinatella insueta of Raffi et al. (2020) = 14.66,Globigerinatella sp.,21,Kennett and Srinivasan (1983),,No data,Micro
Globigerinatella sp.,19.3,15.32,Datum B Globigerinatella sp. of Raffi et al. (2020) = 19.30,"P. N. Pearson (pers. com., May 2019) = 15.32",Globigerinita glutinata,21,No data,,No data,Micro
Globigerinita glutinata,31.8859462,Living,Pearson et al. (2018b) = 31.89,Pearson et al. (2018b) = 0.00,Tenuitella munda,7,Pearson et al. (2018b),"1,3,6","Pearson et al. (2001b), Majewski (2003), Pearson and Wade (2009), Schiebel and Hemleben (2017), Rebotim et al. (2017)",Micro
Globigerinita minuta,27.155,Living,First recorded occurence date extension Pearson et al. (2018b) = 27.16. Pearson et al. (2018b) = 25.20,Pearson et al. (2018b) = 0.00,Globigerinita glutinata,21,Schiebel and Hemleben (2017),1,"Schiebel and Hemleben (2017), Rebotim et al. (2017)",Micro
Globigerinita parkerae,11.92466102,Living,Kennett and Srinivasan (1983) = 11.92,Kennett and Srinivasan (1983) = 0.00,Globigerinita glutinata,7,Kennett and Srinivasan (1983),,No data,Micro
Globigerinita uvula,22.5,Living,Spezzaferri (1994) = 22.50,Pearson et al. (2018b) = 0.00,Globigerinita minuta,7,Pearson et al. (2018b),"1,6",Schiebel and Hemleben (2017),Micro
Globoconusa daubjergensis,65.72056528,62.48,Datum B Globoconusa daubjergensis of Huber and Quillévéré (2005) = 65.72,Datum T Globoconusa daubjergensis of Berggren et al. (2000) = 62.48,Guembelitria cretacea,3,Olsson et al. (1999),2,"Troelsen (1957), Keller (1989), Liu and Olsson (1992)",Micro
Guembelitria cretacea,72.43914397,64.62,Olsson et al. (1999) = 72.44,Olsson et al. (1999) = 64.62,Neobulimina_Budding,22,Olsson et al. (1999),1,D’Hondt and Zachos (1993),Micro
Jenkinsina columbiana,64.624,21.16,First recorded occurence date extension Premec Fucek et al. (2018) = 64.62. Premec Fucek et al. (2018) = 62.48,Premec Fucek et al. (2018) = 21.16,Guembelitria cretacea,22,Premec Fucek et al. (2018),,No data,Micro
Jenkinsina triseriata,50.37585526,27.04,Premec Fucek et al. (2018) = 50.38,Premec Fucek et al. (2018) = 27.04,Jenkinsina columbiana,22,Premec Fucek et al. (2018),,No data,Micro
Mutabella mirabilis,18.772,13.86,Pearson et al. (2001b) = 18.77,Pearson et al. (2001b) = 13.92. EndQuestioned 2.0_Ref of Pearson et al. (2001b) = 13.86,Globigerinita glutinata,7,Pearson et al. (2001b),1,Pearson et al. (2001b),Micro
Neogallitellia vivans,17.94834177,Living,First recorded occurence date extension Ujiié et al. (2008) = 17.95. De Smet et al. (1990) = 2.53,Ujiié et al. (2008) = 0.00,Neobulimina_Budding,22,Kroon and Nederbragt (1990),"2,3,4","Kroon and Nederbragt (1990), Schiebel and Hemleben (2017)",Micro
Parvularugoglobigerina alabamensis,66.0204,61.22,First recorded occurence date extension Olsson et al. (1999) = 66.02. Olsson et al. (1999) = 66.00,Olsson et al. (1999) = 61.22,Guembelitria cretacea,10,Coxall and Pearson (2006),2,"Poore and Matthews (1984), Boersma et al. (1987), Coxall et al. (2000), Pearson et al. (2001a), Wade and Kroon (2002)",Micro
Parvularugoglobigerina eugubina,66,65.73,Datum B Parvularugoglobigerina eugubina of TimeScale Creator (2020) = 66.00,Datum T Parvularugoglobigerina eugubina of TimeScale Creator (2020) = 65.73,Parvularugoglobigerina extensa,7,Olsson et al. (1999),3,"Boersma et al. (1979), Boersma (1984a), D’Hondt and Zachos (1993)",Micro
Parvularugoglobigerina extensa,66.014,65.73,Olsson et al. (1999) = 66.01,Olsson et al. (1999) = 65.73,Parvularugoglobigerina alabamensis,7,Olsson et al. (1999),2,No data,Micro
Praepararotalia perclara,66.33541446,43.33,Liu et al. (1998) = 66.34,Liu et al. (1998) = 52.06. Last recorded occurence date extension Huber et al. (2006) = 43.33,Rotaliana last common ancestor,13,Morphogroup assigned from image presented in Hayward et al. (2021c),,No data,Micro
Rectoguembelina cretacea,70.14,62.33,Olsson et al. (1999) = 70.14,Olsson et al. (1999) = 62.33,Bolivina Clade,23,Olsson et al. (1999),1,"Boersma et al. (1979), Boersma (1984), D’Hondt and Zachos (1993)",Micro
Riveroinella martinezpicoi,16.25812903,13.30,Pearson et al. (2018c) = 16.26,Datum T Riveroinella martinezpicoi of Raffi et al. (2020) = 13.30,Cassigerinella eocaenica,16,Kennett and Srinivasan (1983),,No data,Micro
Tenuitella angustiumbilicata,33.36328953,19.43,Pearson et al. (2018b) = 33.36,Pearson et al. (2018b) = 19.43,Tenuitella munda,7,Pearson et al. (2018b),1,"Van Eijden and Ganssen (1995), Pearson et al. (1997b), Pearson et al. (2001b), Pearson and Wade (2009)",Micro
Tenuitella cf. clemenciae,21.12,1.51,Kennett and Srinivasan (1983) = 21.12,"P. N. Pearson (pers. com., May 2019) = 1.51",Tenuitella angustiumbilicata,7,Qianyu (1987),,No data,Micro
Tenuitella gemma,34.91332479,23.53,Pearson et al. (2018b) = 34.91,Datum T Tenuitella gemma of TimeScale Creator (2020) = 23.53,Tenuitella praegemma,7,Pearson et al. (2018b),,No data,Micro
Tenuitella insolita,35.72293082,34.78,Datum B Tenuitella insolita of Huber and Quillévéré (2005) = 35.72,Datum T Tenuitella insolita of Huber and Quillévéré (2005) = 34.78,Dipsidripella liqianyui,7,Pearson et al. (2006b),4,Pearson et al. (2006b),Micro
Tenuitella minutissima,21.12,12.37,Qianyu (1987) = 21.12,Datum T Tenuitella minutissima of TimeScale Creator (2020) = 12.37,Tenuitella cf. clemenciae,7,Qianyu (1987),,No data,Micro
Tenuitella munda,34.79159884,15.89,Pearson et al. (2018b) = 34.79,End 2.1_PearsonMay2019 of Pearson et al. (2018b) = 15.89,Tenuitella gemma,7,Pearson et al. (2018b),1,Pearson and Wade (2009),Micro
Tenuitella neobrevispira,13.80859418,13.67,Qianyu (1987) = 13.81,Qianyu (1987) = 13.67,Tenuitella minutissima,7,Qianyu (1987),,No data,Micro
Tenuitella patefacta,35.374,34.12,Huber et al. (2006) = 35.37,Huber et al. (2006) = 34.12,Tenuitella insolita,7,Pearson et al. (2006b),,No data,Micro
Tenuitella praegemma,35.158,33.34,Huber et al. (2006) = 35.16,Huber et al. (2006) = 33.34,Tenuitella patefacta,7,Pearson et al. (2006b),4,Pearson et al. (2006b),Micro
Tenuitellita fleisheri,1.88,Living,Qianyu (1987) = 1.88,Qianyu (1987) = 0.00,Tenuitella cf. clemenciae,7,Qianyu (1987),2,Rebotim et al. (2017),Micro
Tenuitellita iota,1.705626118,Living,"P. N. Pearson (pers. com., May 2019) = 1.71",Parker (1962) = 0.00,Tenuitellita fleisheri,7,Lam and Leckie (2020a),"2,3,6","Schiebel and Hemleben (2017), Rebotim et al. (2017)",Micro
Tenuitellita parkerae,3.7142,Living,"P. N. Pearson (pers. com., May 2019) = 3.71",Brönnimann and Resig (1971) = 0.00,Tenuitella cf. clemenciae,7,Qianyu (1987),3,Rebotim et al. (2017),Micro
Woodringina claytonensis,66,64.42,Olsson et al. (1999) = 66.00,Olsson et al. (1999) = 64.42,Guembelitria cretacea,20,Olsson et al. (1999),1,D’Hondt and Zachos (1993),Micro
Woodringina hornerstownensis,65.9622,60.76,Olsson et al. (1999) = 65.96,Olsson et al. (1999) = 60.76,Woodringina claytonensis,20,Olsson et al. (1999),1,"D'Hondt and Keller (1991), Liu and Olsson (1992), D’Hondt and Zachos (1993)",Micro
`Zeauvigerina` virgata,63.92846079,55.25,Olsson et al. (1999) = 63.93,Olsson et al. (1999) = 55.25,Zeauvigerina waiparaensis,20,Olsson et al. (1999),4,No data,Micro
Zeauvigerina aegyptiaca,59.275,55.15,Olsson et al. (1999) = 59.28,Huber et al. (2006) = 55.15,Zeauvigerina teuria,23,Olsson et al. (1999),2,Huber and Boersma (1994),Micro
Zeauvigerina lodoensis,57.79,53.35,Huber et al. (2006) = 57.79,Huber et al. (2006) = 54.33. Last recorded occurence date extension Huber et al. (2006) = 53.35,Zeauvigerina aegyptiaca,20,Pearson et al. (2006b),4,No data,Micro
Zeauvigerina parri,49.546,43.70,Huber et al. (2006) = 49.55,Huber et al. (2006) = 43.70,Zeauvigerina zelandica,20,Pearson et al. (2006b),4,No data,Micro
Zeauvigerina teuria,63.4984,58.23,Olsson et al. (1999) = 63.50,Olsson et al. (1999) = 58.23,Zeauvigerina waiparaensis,20,Olsson et al. (1999),4,No data,Micro
Zeauvigerina waiparaensis,69.45686975,54.90,Olsson et al. (1999) = 69.46,Olsson et al. (1999) = 54.90,Bolivina Clade,20,Olsson et al. (1999),4,Huber and Boersma (1994),Micro
Zeauvigerina zelandica,56,37.23,First recorded occurence date extension Huber et al. (2006) = 56.00. Huber et al. (2006) = 55.85,Huber et al. (2006) = 39.30. Last recorded occurence date extension Huber et al. (2006) = 37.23,Zeauvigerina aegyptiaca,20,Pearson et al. (2006b),4,No data,Micro
